# TOPIX構成銘柄リスト（fetch_universe.py で自動生成）
# 取得銘柄数: 500銘柄
# コード  # 銘柄名（ウェイト順）
#
1301  # 0.0057%
1332  # 0.0357%
1333  # 0.0194%
1375  # 0.0024%
1376  # 0.0011%
1377  # 0.0134%
1379  # 0.0045%
1414  # 0.0216%
1417  # 0.0349%
1419  # 0.0063%
1435  # 0.0010%
1514  # 0.0021%
1515  # 0.0202%
1518  # 0.0046%
1605  # 0.3213%
1662  # 0.0370%
1663  # 0.0061%
1716  # 0.0010%
1719  # 0.0286%
1720  # 0.0126%
1721  # 0.0515%
1726  # 0.0020%
1762  # 0.0079%
1766  # 0.0082%
1780  # 0.0024%
1786  # 0.0041%
1801  # 0.2674%
1802  # 0.2462%
1803  # 0.1681%
1808  # 0.0536%
1810  # 0.0028%
1812  # 0.2789%
1813  # 0.0040%
1815  # 0.0056%
1820  # 0.0193%
1822  # 0.0022%
1833  # 0.0209%
1835  # 0.0113%
1852  # 0.0081%
1860  # 0.0353%
1861  # 0.0211%
1870  # 0.0083%
1871  # 0.0055%
1873  # 0.0012%
1878  # 0.1083%
1879  # 0.0054%
1882  # 0.0053%
1885  # 0.0275%
1887  # 0.0038%
1888  # 0.0026%
1893  # 0.0533%
1898  # 0.0048%
1899  # 0.0047%
1911  # 0.0774%
1925  # 0.2749%
1926  # 0.0138%
1928  # 0.2044%
1929  # 0.0025%
1930  # 0.0018%
1934  # 0.0120%
1938  # 0.0044%
1939  # 0.0047%
1941  # 0.0120%
1942  # 0.0674%
1944  # 0.1026%
1945  # 0.0032%
1946  # 0.0082%
1950  # 0.0175%
1951  # 0.0503%
1952  # 0.0096%
1959  # 0.0402%
1961  # 0.0284%
1963  # 0.0475%
1964  # 0.0024%
1968  # 0.0110%
1969  # 0.0494%
1975  # 0.0087%
1976  # 0.0060%
1979  # 0.0177%
1980  # 0.0374%
1982  # 0.0083%
2001  # 0.0179%
2002  # 0.0384%
2003  # 0.0022%
2004  # 0.0051%
2053  # 0.0045%
2060  # 0.0031%
2108  # 0.0035%
2109  # 0.0053%
2117  # 0.0030%
2120  # 0.0012%
2121  # 0.0090%
2124  # 0.0060%
2127  # 0.0213%
2130  # 0.0008%
2146  # 0.0078%
2148  # 0.0019%
2153  # 0.0026%
2154  # 0.0106%
2157  # 0.0059%
2168  # 0.0039%
2170  # 0.0025%
2175  # 0.0124%
2181  # 0.0420%
2193  # 0.0006%
2201  # 0.0200%
2204  # 0.0015%
2206  # 0.0307%
2207  # 0.0021%
2209  # 0.0025%
2211  # 0.0031%
2212  # 0.0415%
2217  # 0.0026%
2220  # 0.0049%
2222  # 0.0187%
2229  # 0.0250%
2264  # 0.0326%
2266  # 0.0018%
2267  # 0.0641%
2269  # 0.0992%
2270  # 0.0166%
2281  # 0.0069%
2282  # 0.0476%
2288  # 0.0043%
2292  # 0.0062%
2294  # 0.0020%
2296  # 0.0199%
2301  # 0.0016%
2305  # 0.0018%
2307  # 0.0010%
2317  # 0.0114%
2325  # 0.0019%
2326  # 0.0053%
2327  # 0.0198%
2331  # 0.0395%
2335  # 0.0011%
2337  # 0.0062%
2353  # 0.0060%
2359  # 0.0018%
2371  # 0.0206%
2378  # 0.0016%
2379  # 0.0065%
2384  # 0.0068%
2389  # 0.0020%
2395  # 0.0033%
2413  # 0.0627%
2429  # 0.0024%
2432  # 0.0196%
2433  # 0.0276%
2440  # 0.0005%
2445  # 0.0011%
2461  # 0.0013%
2462  # 0.0016%
2471  # 0.0013%
2475  # 0.0013%
2477  # 0.0006%
2489  # 0.0006%
2491  # 0.0007%
2492  # 0.0070%
2501  # 0.0470%
2502  # 0.2256%
2503  # 0.1994%
2531  # 0.0237%
2533  # 0.0026%
2540  # 0.0023%
2579  # 0.0474%
2585  # 0.0039%
2587  # 0.0612%
2590  # 0.0052%
2593  # 0.0174%
2594  # 0.0040%
2602  # 0.0152%
2607  # 0.0141%
2613  # 0.0042%
2659  # 0.0100%
2664  # 0.0049%
2670  # 0.0262%
2674  # 0.0016%
2676  # 0.0033%
2678  # 0.0047%
2681  # 0.0038%
2685  # 0.0079%
2692  # 0.0056%
2695  # 0.0083%
2698  # 0.0023%
2726  # 0.0123%
2730  # 0.0203%
2733  # 0.0089%
2734  # 0.0049%
2737  # 0.0038%
2742  # 0.0042%
2749  # 0.0037%
2752  # 0.0034%
2753  # 0.0020%
2760  # 0.0070%
2767  # 0.0055%
2768  # 0.1298%
2784  # 0.0482%
2791  # 0.0038%
2792  # 0.0026%
2801  # 0.0879%
2802  # 0.4240%
2804  # 0.0017%
2809  # 0.0425%
2810  # 0.0204%
2811  # 0.0266%
2815  # 0.0121%
2819  # 0.0012%
2871  # 0.0330%
2874  # 0.0068%
2875  # 0.1007%
2882  # 0.0017%
2884  # 0.0014%
2897  # 0.0659%
2908  # 0.0033%
2910  # 0.0028%
2914  # 0.6432%
2915  # 0.0026%
2918  # 0.0041%
2922  # 0.0022%
2929  # 0.0015%
2930  # 0.0010%
2931  # 0.0048%
2933  # 0.0017%
2935  # 0.0013%
2975  # 0.0031%
2980  # 0.0025%
3001  # 0.0060%
3002  # 0.0132%
3003  # 0.1067%
3023  # 0.0024%
3028  # 0.0041%
3031  # 0.0010%
3034  # 0.0046%
3036  # 0.0097%
3038  # 0.0613%
3040  # 0.0018%
3046  # 0.0069%
3048  # 0.0182%
3050  # 0.0168%
3053  # 0.0012%
3064  # 0.0560%
3076  # 0.0111%
3086  # 0.0562%
3087  # 0.0101%
3088  # 0.0856%
3091  # 0.0047%
3092  # 0.0341%
3093  # 0.0025%
3097  # 0.0185%
3099  # 0.0912%
3101  # 0.0143%
3103  # 0.0119%
3104  # 0.0092%
3105  # 0.0239%
3106  # 0.0126%
3107  # 0.0228%
3109  # 0.0014%
3110  # 0.0574%
3116  # 0.0282%
3132  # 0.0366%
3134  # 0.0005%
3139  # 0.0031%
3148  # 0.0092%
3150  # 0.0017%
3151  # 0.0039%
3153  # 0.0051%
3154  # 0.0010%
3156  # 0.0051%
3167  # 0.0125%
3176  # 0.0044%
3179  # 0.0027%
3180  # 0.0008%
3182  # 0.0040%
3183  # 0.0021%
3186  # 0.0167%
3191  # 0.0123%
3193  # 0.0029%
3196  # 0.0028%
3197  # 0.0933%
3198  # 0.0023%
3199  # 0.0022%
3201  # 0.0094%
3221  # 0.0020%
3222  # 0.0085%
3231  # 0.0573%
3232  # 0.0026%
3245  # 0.0034%
3252  # 0.0049%
3267  # 0.0004%
3276  # 0.0013%
3284  # 0.0041%
3288  # 0.0635%
3289  # 0.0759%
3291  # 0.0419%
3302  # 0.0056%
3315  # 0.0025%
3333  # 0.0021%
3349  # 0.0224%
3360  # 0.0191%
3371  # 0.0031%
3382  # 0.4608%
3387  # 0.0211%
3388  # 0.0024%
3391  # 0.0780%
3395  # 0.0053%
3397  # 0.0228%
3401  # 0.0276%
3402  # 0.1624%
3405  # 0.0420%
3407  # 0.2199%
3415  # 0.0010%
3421  # 0.0018%
3431  # 0.0047%
3433  # 0.0167%
3436  # 0.0645%
3443  # 0.0078%
3445  # 0.0052%
3457  # 0.0011%
3465  # 0.0060%
3475  # 0.0029%
3480  # 0.0026%
3482  # 0.0038%
3496  # 0.0014%
3498  # 0.0137%
3539  # 0.0047%
3543  # 0.0137%
3546  # 0.0021%
3547  # 0.0012%
3548  # 0.0017%
3549  # 0.0183%
3561  # 0.0022%
3563  # 0.1098%
3565  # 0.0010%
3569  # 0.0142%
3580  # 0.0022%
3591  # 0.0160%
3593  # 0.0132%
3608  # 0.0054%
3612  # 0.0098%
3626  # 0.0614%
3632  # 0.0024%
